split,n_test,additive_auroc,additive_auprc,interaction_auroc,interaction_auprc,auroc_gain
random,9364,0.7441056502832677,0.7180399323663668,0.8446872484268331,0.8294486649144303,0.1005815981435653
low_to_high_burden,29234,0.6057506823282939,0.4864588179732134,0.6169117761525668,0.5193410008374582,0.0111610938242728
pre_omicron_to_omicron,27757,0.5994637090256103,0.4974590504143035,0.6136595213772081,0.5249594762678536,0.0141958123515978
seen_positions_unseen_combinations,22077,0.6529265041580897,0.5444535167340341,0.7467199976177263,0.6627927041413902,0.0937934934596366
ba12_to_xbb_bq,4056,0.6269436427769761,0.2633403105202923,0.7345602853936186,0.3403802995532761,0.1076166426166425
cross_virus_hardest,6447,0.4998824740092666,0.305176168488629,0.4560432855686743,0.2916490121341892,-0.0438391884405923
